total_price_yuan,unit_price_yuan_per_m2,area_m2
14990000.0,99271.0,151.0
15500000.0,108741.0,142.54
70000000.0,166583.0,420.21
43000000.0,140946.0,305.08
24000000.0,209442.0,114.59
85000000.0,215189.0,395.0
59000000.0,221147.0,266.79
21000000.0,139804.0,150.21
21500000.0,186956.0,115.0
34000000.0,144165.0,235.84
54000000.0,170886.0,316.0
89500000.0,226582.0,395.0
62800000.0,147353.0,464.87
51500000.0,194339.0,265.0
21500000.0,146109.0,147.15
85000000.0,178197.0,477.0
22900000.0,134983.0,169.65
21500000.0,153527.0,140.04
194000000.0,260402.0,745.0
98000000.0,177858.0,551.0
98000000.0,261333.0,375.0
57000000.0,222517.0,256.16
65000000.0,218216.0,297.87
85000000.0,216240.0,393.08
58000000.0,162921.0,356.0
70000000.0,163551.0,428.0
125000000.0,229088.0,545.64
93000000.0,244094.0,381.0
60000000.0,220078.0,272.63
23880000.0,156723.0,152.37
48990000.0,229246.0,213.7
85000000.0,205497.0,413.63
6000000.0,116211.0,51.63
16500000.0,129584.0,127.33
54000000.0,170886.0,316.0
55000000.0,175718.0,313.0
21500000.0,146109.0,147.15
22800000.0,103962.0,219.31
18500000.0,135204.0,136.83
75000000.0,259578.0,288.93
23880000.0,156723.0,152.37
58000000.0,215926.0,268.61
25800000.0,150279.0,171.68
85000000.0,264131.0,321.81
65000000.0,238970.0,272.0
62000000.0,225192.0,275.0
21500000.0,146109.0,147.15
54000000.0,247275.0,218.38
98000000.0,261054.0,375.4
100000000.0,253710.0,394.0
28500000.0,130249.0,218.81
21800000.0,139698.0,156.05
13980000.0,92699.0,150.81
76000000.0,247130.0,307.53
18500000.0,135204.0,136.83
54000000.0,247275.0,218.38
81000000.0,234782.0,345.0
4190000.0,76181.0,55.0
62000000.0,225192.0,275.0
13980000.0,92699.0,150.81
100000000.0,253710.0,394.0
98000000.0,261054.0,375.4
54000000.0,247275.0,218.38
22600000.0,155411.0,145.42
14300000.0,113222.0,126.3
86500000.0,218987.0,395.0
53000000.0,160188.0,330.86
22800000.0,103962.0,219.31
86000000.0,220512.0,390.0
20000000.0,250000.0,80.0
70000000.0,234789.0,298.14
80000000.0,227920.0,351.0
18800000.0,137036.0,137.19
22900000.0,129444.0,176.91
16500000.0,129584.0,127.33
7600000.0,125994.0,60.32
53500000.0,244985.0,218.38
54000000.0,172111.0,313.75
24000000.0,209442.0,114.59
16000000.0,201943.0,79.23
25680000.0,144043.0,178.28
67000000.0,254115.0,263.66
14990000.0,117845.0,127.2
22900000.0,153691.0,149.0
76000000.0,247130.0,307.53
105000000.0,280000.0,375.0
70000000.0,166583.0,420.21
7600000.0,125994.0,60.32
34000000.0,165345.0,205.63
85000000.0,205497.0,413.63
28000000.0,138094.0,202.76
20880000.0,150486.0,138.75
97000000.0,245432.0,395.22
24300000.0,122597.0,198.21
70000000.0,219690.0,318.63
31000000.0,129209.0,239.92
7900000.0,96671.0,81.72
25800000.0,150279.0,171.68
32500000.0,177275.0,183.33
21000000.0,139804.0,150.21
21900000.0,145399.0,150.62
43000000.0,140983.0,305.0
70000000.0,233933.0,299.23
21800000.0,148027.0,147.27
72000000.0,239776.0,300.28
34000000.0,144165.0,235.84
6400000.0,115544.0,55.39
13500000.0,172899.0,78.08
55000000.0,252432.0,217.88
20150000.0,111869.0,180.12
93000000.0,244094.0,381.0
13500000.0,172899.0,78.08
3790000.0,61626.0,61.5
70000000.0,220125.0,318.0
15500000.0,133230.0,116.34
21000000.0,151384.0,138.72
72000000.0,239776.0,300.28
55000000.0,252432.0,217.88
20150000.0,111869.0,180.12
70000000.0,220125.0,318.0
21800000.0,148027.0,147.27
43000000.0,140983.0,305.0
6400000.0,115544.0,55.39
25500000.0,122009.0,209.0
26500000.0,144864.0,182.93
32000000.0,174786.0,183.08
29800000.0,148962.0,200.05
16880000.0,106801.0,158.05
45500000.0,179133.0,254.0
15500000.0,134782.0,115.0
39800000.0,167262.0,237.95
19500000.0,141921.0,137.4
23800000.0,134920.0,176.4
54000000.0,247275.0,218.38
14300000.0,113222.0,126.3
7100000.0,144661.0,49.08
11000000.0,102803.0,107.0
24800000.0,160705.0,154.32
16800000.0,102520.0,163.87
53000000.0,160188.0,330.86
23980000.0,166227.0,144.26
28000000.0,138613.0,202.0
18880000.0,131111.0,144.0
62000000.0,225192.0,275.32
9500000.0,103452.0,91.83
25500000.0,155175.0,164.33
24800000.0,154603.0,160.41
100000000.0,253710.0,394.15
25680000.0,144043.0,178.28
12990000.0,121231.0,107.15
16500000.0,145618.0,113.31
15000000.0,128205.0,117.0
16500000.0,145618.0,113.31
32800000.0,127131.0,258.0
17800000.0,144715.0,123.0
15500000.0,108741.0,142.54
16500000.0,135813.0,121.49
29000000.0,173258.0,167.38
75000000.0,259578.0,288.93
11500000.0,127777.0,90.0
16500000.0,145618.0,113.31
6500000.0,114075.0,56.98
33990000.0,147776.0,230.01
39800000.0,167262.0,237.95
17800000.0,139816.0,127.31
28800000.0,131621.0,218.81
33990000.0,147776.0,230.01
16500000.0,145618.0,113.31
29800000.0,148962.0,200.05
28000000.0,155538.0,180.02
5800000.0,112229.0,51.68
50500000.0,160981.0,313.7
16800000.0,113116.0,148.52
20000000.0,132450.0,151.0
6450000.0,136421.0,47.28
21800000.0,139743.0,156.0
18500000.0,135204.0,136.83
12500000.0,133134.0,93.89
22600000.0,155411.0,145.42
38000000.0,132533.0,286.72
16800000.0,113116.0,148.52
24700000.0,131278.0,188.15
33000000.0,181328.0,181.99
7990000.0,102226.0,78.16
18500000.0,135204.0,136.83
24800000.0,150576.0,164.7
32800000.0,127131.0,258.0
12990000.0,131212.0,99.0
12990000.0,131212.0,99.0
17990000.0,122497.0,146.86
15800000.0,104767.0,150.81
21500000.0,146109.0,147.15
32800000.0,127131.0,258.0
25600000.0,139944.0,182.93
20000000.0,132502.0,150.94
85000000.0,205497.0,413.63
76000000.0,247130.0,307.53
24000000.0,209442.0,114.59
11000000.0,102803.0,107.0
6400000.0,116363.0,55.0
21900000.0,145399.0,150.62
26800000.0,167500.0,160.0
17500000.0,139675.0,125.29
25600000.0,139944.0,182.93
25800000.0,150279.0,171.68
26800000.0,164902.0,162.52
22900000.0,135023.0,169.6
14300000.0,113222.0,126.3
12990000.0,131212.0,99.0
18000000.0,113708.0,158.3
12900000.0,122495.0,105.31
39800000.0,167262.0,237.95
7400000.0,96757.0,76.48
43350000.0,182181.0,237.95
18880000.0,131111.0,144.0
2380000.0,43709.0,54.45
18000000.0,131386.0,137.0
11200000.0,82656.0,135.5
14000000.0,133231.0,105.08
17000000.0,118178.0,143.85
24800000.0,160705.0,154.32
15500000.0,108741.0,142.54
70000000.0,219690.0,318.63
19500000.0,141921.0,137.4
25500000.0,155175.0,164.33
25800000.0,150279.0,171.68
18800000.0,137036.0,137.19
17800000.0,144715.0,123.0
14500000.0,113993.0,127.2
16880000.0,106801.0,158.05
17300000.0,114569.0,151.0
5680000.0,109567.0,51.84
11000000.0,102803.0,107.0
33990000.0,147776.0,230.01
16600000.0,109933.0,151.0
35000000.0,148405.0,235.84
24800000.0,123101.0,201.46
22900000.0,135023.0,169.6
32800000.0,127131.0,258.0
17800000.0,139816.0,127.31
21500000.0,146109.0,147.15
21500000.0,131201.0,163.87
15250000.0,94720.0,161.0
22900000.0,129378.0,177.0
27200000.0,169565.0,160.41
18800000.0,137036.0,137.19
6500000.0,114075.0,56.98
9300000.0,100000.0,93.0
6500000.0,136554.0,47.6
5500000.0,120746.0,45.55
26500000.0,170133.0,155.76
43000000.0,180157.0,238.68
43000000.0,140983.0,305.0
26800000.0,167500.0,160.0
16990000.0,133779.0,127.0
35000000.0,137947.0,253.72
70000000.0,220146.0,317.97
17400000.0,136652.0,127.33
54000000.0,170886.0,316.0
17800000.0,139816.0,127.31
85000000.0,205497.0,413.63
25600000.0,139890.0,183.0
16500000.0,135813.0,121.49
16600000.0,109933.0,151.0
25800000.0,150279.0,171.68
14680000.0,118492.0,123.89
43000000.0,140983.0,305.0
11500000.0,127777.0,90.0
26800000.0,167500.0,160.0
20000000.0,132502.0,150.94
7100000.0,144661.0,49.08
70000000.0,219690.0,318.63
11800000.0,132079.0,89.34
9000000.0,112612.0,79.92
19000000.0,213411.0,89.03
16880000.0,106801.0,158.05
12980000.0,131111.0,99.0
11500000.0,127777.0,90.0
35000000.0,150738.0,232.19
24400000.0,149693.0,163.0
14300000.0,111884.0,127.81
25500000.0,122009.0,209.0
22900000.0,135023.0,169.6
16500000.0,145618.0,113.31
14000000.0,65752.0,212.92
14300000.0,113222.0,126.3
45000000.0,181393.0,248.08
25800000.0,150122.0,171.86
21800000.0,139698.0,156.05
25500000.0,155175.0,164.33
97000000.0,245445.0,395.2
9300000.0,100000.0,93.0
70000000.0,220146.0,317.97
21800000.0,139743.0,156.0
25500000.0,155175.0,164.33
14300000.0,113222.0,126.3
6500000.0,114075.0,56.98
17200000.0,137281.0,125.29
53000000.0,160188.0,330.86
75000000.0,259578.0,288.93
25680000.0,144043.0,178.28
20880000.0,150486.0,138.75
16500000.0,129584.0,127.33
35000000.0,137947.0,253.72
43000000.0,140983.0,305.0
21800000.0,139743.0,156.0
17800000.0,139816.0,127.31
53000000.0,160188.0,330.86
26500000.0,132898.0,199.4
62000000.0,225192.0,275.32
18500000.0,134849.0,137.19
32000000.0,174786.0,183.08
12990000.0,131212.0,99.0
16600000.0,109933.0,151.0
17200000.0,137281.0,125.29
98000000.0,261054.0,375.4
70000000.0,219690.0,318.63
15500000.0,110959.0,139.69
53000000.0,160188.0,330.86
6200000.0,140366.0,44.17
6450000.0,136421.0,47.28
21500000.0,131201.0,163.87
85000000.0,205497.0,413.63
11500000.0,127777.0,90.0
12990000.0,121231.0,107.15
9300000.0,100000.0,93.0
14500000.0,113993.0,127.2
28500000.0,130249.0,218.81
17500000.0,139675.0,125.29
100000000.0,253710.0,394.15
15800000.0,130578.0,121.0
33990000.0,147776.0,230.01
45000000.0,179354.0,250.9
9250000.0,107159.0,86.32
16500000.0,145618.0,113.31
10300000.0,85123.0,121.0
7990000.0,102226.0,78.16
12990000.0,131212.0,99.0
28000000.0,155538.0,180.02
17800000.0,144715.0,123.0
24000000.0,163254.0,147.01
20880000.0,150486.0,138.75
12990000.0,131212.0,99.0
14000000.0,65752.0,212.92
9000000.0,82364.0,109.27
26000000.0,152002.0,171.05
21800000.0,139743.0,156.0
5950000.0,114291.0,52.06
15500000.0,124848.0,124.15
16880000.0,106801.0,158.05
16800000.0,102520.0,163.87
26500000.0,144864.0,182.93
100000000.0,253710.0,394.15
98000000.0,261054.0,375.4
16990000.0,133779.0,127.0
28500000.0,130249.0,218.81
11000000.0,164917.0,66.7
18880000.0,131111.0,144.0
97000000.0,245445.0,395.2
15250000.0,94720.0,161.0
21990000.0,141870.0,155.0
16990000.0,133779.0,127.0
39800000.0,167262.0,237.95
9600000.0,104541.0,91.83
23000000.0,150189.0,153.14
82000000.0,253501.0,323.47
35000000.0,148405.0,235.84
7400000.0,96757.0,76.48
23880000.0,156723.0,152.37
54000000.0,247275.0,218.38
14780000.0,108183.0,136.62
14300000.0,111884.0,127.81
81000000.0,234782.0,345.0
9300000.0,100000.0,93.0
15500000.0,108741.0,142.54
85000000.0,205497.0,413.63
14500000.0,113993.0,127.2
11990000.0,101981.0,117.57
15500000.0,134782.0,115.0
53000000.0,160188.0,330.86
39800000.0,165985.0,239.78
82000000.0,253501.0,323.47
54000000.0,247275.0,218.38
54000000.0,247275.0,218.38
19580000.0,133752.0,146.39
23000000.0,150809.0,152.51
24000000.0,161561.0,148.55
39800000.0,167262.0,237.95
50500000.0,160981.0,313.7
24000000.0,209442.0,114.59
70000000.0,220146.0,317.97
7990000.0,102226.0,78.16
26800000.0,167500.0,160.0
82000000.0,253501.0,323.47
21500000.0,131201.0,163.87
29800000.0,148962.0,200.05
23980000.0,166227.0,144.26
97000000.0,245445.0,395.2
9500000.0,86750.0,109.51
23800000.0,207082.0,114.93
33990000.0,147776.0,230.01
17800000.0,144715.0,123.0
5680000.0,109567.0,51.84
11500000.0,127777.0,90.0
76000000.0,247130.0,307.53
14300000.0,111884.0,127.81
24000000.0,161561.0,148.55
24400000.0,149693.0,163.0
35000000.0,137947.0,253.72
9250000.0,107159.0,86.32
25800000.0,150279.0,171.68
62000000.0,225192.0,275.32
7100000.0,144661.0,49.08
26500000.0,170133.0,155.76
21500000.0,146109.0,147.15
25500000.0,156903.0,162.52
45500000.0,179133.0,254.0
16500000.0,135813.0,121.49
18900000.0,115335.0,163.87
35000000.0,150738.0,232.19
18800000.0,137036.0,137.19
14000000.0,65752.0,212.92
53000000.0,160188.0,330.86
98000000.0,261054.0,375.4
20880000.0,150486.0,138.75
21800000.0,139698.0,156.05
54000000.0,247275.0,218.38
7990000.0,101408.0,78.79
27200000.0,169565.0,160.41
17400000.0,136652.0,127.33
24800000.0,150576.0,164.7
32800000.0,127131.0,258.0
16990000.0,133779.0,127.0
97000000.0,245445.0,395.2
17000000.0,118178.0,143.85
12900000.0,122495.0,105.31
16800000.0,113116.0,148.52
70000000.0,220146.0,317.97
23800000.0,207082.0,114.93
12980000.0,131111.0,99.0
9500000.0,103452.0,91.83
11990000.0,101981.0,117.57
6400000.0,116363.0,55.0
18500000.0,135204.0,136.83
15200000.0,118973.0,127.76
33990000.0,147776.0,230.01
21500000.0,146109.0,147.15
26800000.0,167500.0,160.0
18990000.0,88593.0,214.35
50500000.0,160981.0,313.7
70000000.0,219690.0,318.63
25800000.0,150122.0,171.86
19500000.0,141921.0,137.4
17500000.0,139675.0,125.29
28000000.0,155538.0,180.02
21800000.0,139743.0,156.0
17300000.0,114569.0,151.0
35000000.0,148405.0,235.84
25800000.0,150279.0,171.68
21990000.0,141870.0,155.0
70000000.0,220146.0,317.97
33990000.0,147776.0,230.01
12980000.0,131111.0,99.0
45000000.0,181393.0,248.08
22800000.0,147994.0,154.06
54000000.0,247275.0,218.38
26500000.0,170133.0,155.76
26800000.0,167500.0,160.0
23000000.0,150189.0,153.14
59000000.0,270171.0,218.38
35000000.0,148405.0,235.84
39800000.0,167262.0,237.95
16990000.0,133779.0,127.0
12990000.0,131212.0,99.0
25500000.0,155175.0,164.33
55000000.0,175718.0,313.0
17500000.0,139675.0,125.29
21990000.0,109153.0,201.46
6200000.0,140366.0,44.17
17800000.0,144715.0,123.0
26500000.0,132898.0,199.4
19580000.0,133752.0,146.39
17400000.0,136652.0,127.33
24800000.0,160705.0,154.32
16500000.0,145618.0,113.31
23800000.0,134920.0,176.4
11990000.0,101981.0,117.57
25800000.0,150122.0,171.86
33000000.0,166978.0,197.63
85000000.0,205497.0,413.63
85000000.0,264131.0,321.81
15000000.0,128205.0,117.0
28500000.0,130249.0,218.81
33000000.0,181328.0,181.99
21500000.0,146109.0,147.15
15850000.0,124803.0,127.0
6450000.0,136421.0,47.28
70000000.0,220146.0,317.97
100000000.0,253710.0,394.15
32000000.0,174786.0,183.08
18500000.0,134849.0,137.19
20000000.0,132450.0,151.0
21800000.0,139698.0,156.05
25680000.0,144043.0,178.28
6300000.0,131250.0,48.0
85000000.0,205497.0,413.63
38000000.0,132533.0,286.72
35000000.0,137947.0,253.72
98000000.0,261054.0,375.4
20880000.0,150486.0,138.75
54000000.0,247275.0,218.38
22600000.0,155411.0,145.42
45000000.0,126135.0,356.76
15500000.0,134782.0,115.0
11990000.0,101981.0,117.57
25500000.0,156903.0,162.52
25680000.0,144043.0,178.28
6200000.0,140366.0,44.17
12990000.0,131212.0,99.0
39800000.0,167262.0,237.95
5800000.0,112229.0,51.68
28500000.0,130249.0,218.81
19580000.0,133752.0,146.39
85000000.0,205497.0,413.63
54000000.0,247275.0,218.38
8300000.0,140916.0,58.9
26500000.0,132898.0,199.4
22900000.0,155496.0,147.27
14780000.0,108183.0,136.62
32800000.0,127131.0,258.0
25600000.0,139944.0,182.93
21500000.0,146109.0,147.15
22900000.0,155496.0,147.27
100000000.0,253710.0,394.15
43350000.0,182181.0,237.95
9250000.0,107159.0,86.32
50500000.0,160981.0,313.7
18500000.0,135204.0,136.83
12990000.0,131212.0,99.0
15000000.0,160479.0,93.47
6400000.0,116363.0,55.0
85000000.0,205497.0,413.63
18000000.0,131386.0,137.0
30000000.0,167700.0,178.89
32800000.0,127131.0,258.0
97000000.0,245445.0,395.2
34980000.0,209110.0,167.28
56000000.0,290155.0,193.0
7400000.0,96757.0,76.48
70000000.0,219690.0,318.63
24000000.0,161561.0,148.55
28000000.0,138613.0,202.0
26500000.0,170133.0,155.76
14500000.0,113993.0,127.2
21990000.0,109153.0,201.46
16000000.0,111111.0,144.0
33000000.0,166978.0,197.63
24800000.0,154603.0,160.41
55800000.0,255517.0,218.38
19500000.0,141921.0,137.4
21800000.0,139743.0,156.0
33990000.0,147776.0,230.01
21000000.0,139804.0,150.21
15500000.0,124848.0,124.15
14680000.0,118387.0,124.0
15500000.0,134782.0,115.0
81000000.0,234782.0,345.0
85000000.0,264131.0,321.81
14500000.0,113993.0,127.2
76000000.0,247130.0,307.53
35000000.0,148405.0,235.84
24300000.0,122597.0,198.21
24000000.0,161561.0,148.55
81000000.0,234782.0,345.0
16990000.0,133779.0,127.0
21990000.0,141870.0,155.0
33990000.0,147776.0,230.01
21500000.0,153527.0,140.04
97000000.0,245445.0,395.2
82000000.0,253501.0,323.47
7400000.0,96757.0,76.48
14500000.0,113993.0,127.2
19500000.0,141921.0,137.4
62000000.0,225192.0,275.32
24800000.0,150576.0,164.7
32800000.0,127131.0,258.0
26800000.0,167500.0,160.0
